"","binomial","X","Species.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Authority","Infraspecific.rank","Infraspecific.name","Infraspecific.authority","Stock.subpopulation","Synonyms","Common.names..Eng.","Common.names..Fre.","Common.names..Spa.","Red.List.status","Red.List.criteria","Red.List.criteria.version","Year.assessed","Population.trend","Petitioned","mating_system","sex_dim","ref.matsys","ref.sexdim","male_svl_cm","female_svl_cm","male_body_mass_g","female_body_mass_g","ref.svl.male","ref.svl.female","ref.body_mass.male","ref.body_mass.female","shape_Leng","shape_Area","han_MorR","sex_role.liker","malepolyfreq.liker","malepolyscore.liker","fempolyfreq.liker","fempolyscore.liker","parentalcare_bias.liker","malecareduration.liker","femcareduration.liker","breedingdens.liker","EPP.freq.liker","body.size.pip","latitude.pip","sex.size.dim","ref.sex.size.dim","body_mass_adult","ref_body_mass","sex.sel.traits","ref.sex.sel.t","comments","ASR","ref.asr"
"457","Acris crepitans",457,55286,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Acris","crepitans","Baird, 1854",NA,NA,NA,NA,NA,"Northern Cricket Frog",NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,2.28,2.42,NA,NA,"han","han",NA,NA,349.2681423,322.5781691,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Acris gryllus",458,55287,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Acris","gryllus","(Le Conte, 1825)",NA,NA,NA,NA,NA,"Southern Cricket Frog",NA,NA,"LC",NA,3.1,2014,"stable",NA,"Polygynous","Female larger, Sexes colored or patterned differently, Male more colorful","adw","adw",2.2,2.45,NA,NA,"han","han",NA,NA,126.6569886,63.88281369,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No data available (CCI 29/10/2018)",NA,NA
"577","Adelotus brevis",577,520,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","LIMNODYNASTIDAE","Adelotus","brevis","(Günther, 1863)",NA,NA,NA,NA,"Cryptotis brevis","Tusked Frog",NA,NA,"NT",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,3.55,3.28,NA,NA,"han","han",NA,NA,75.93579575,43.84715531,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","Adelphobates galactonotus",587,55185,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Adelphobates","galactonotus","(Steindachner, 1864)",NA,NA,NA,NA,"Dendrobates galactonotus  |Dendrobates galactonotus  ",NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,3.32,3.57,NA,NA,"han","han",NA,NA,36.71053577,46.40713716,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","Adelphobates quinquevittatus",588,55197,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Adelphobates","quinquevittatus","(Steindachner, 1864)",NA,NA,NA,NA,"Dendrobates quinquevittatus  ","Rio Madeira Poison Frog, Amazonian Poison-arrow Frog",NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.66,1.73,NA,NA,"han","han",NA,NA,42.53482983,118.0534787,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","Adenomera andreae",590,56304,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","LEPTODACTYLIDAE","Adenomera","andreae","(Müller, 1923)",NA,NA,NA,NA,"Leptodactylus andreae","Lowland Tropical Bullfrog",NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,2.33,2.41,NA,NA,"nali","nali",NA,NA,135.1753152,489.0484032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","Adenomera hylaedactyla",596,56309,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","LEPTODACTYLIDAE","Adenomera","hylaedactyla","(Cope, 1868)",NA,NA,NA,NA,"Adenomera hylaedactyla  |Leptodactylus diptyx  |Leptodactylus glandulosus  |Leptodactylus hololius  |Leptodactylus hylaedactyla  |Leptodactylus hylaedactylus|Leptodactylus melini  |Leptodactylus minutus  |Leptodactylus poeppigi  ","Napo Tropical Bullfrog",NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,2.27,2.32,NA,NA,"nali","nali",NA,NA,174.3202289,774.0488307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598","Adenomera marmorata",598,56311,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","LEPTODACTYLIDAE","Adenomera","marmorata","Steindachner, 1867",NA,NA,NA,NA,"Leptodactylus marmorata  |Leptodactylus marmoratus",NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,2.017,2.202,NA,NA,"nali","nali",NA,NA,34.59933024,20.06413967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740","Afrixalus fornasini",740,56063,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYPEROLIIDAE","Afrixalus","fornasini","(Bianconi, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2013,"unknown",NA,NA,NA,NA,NA,3.35,3.5,NA,NA,"han","han",NA,NA,109.419636,79.74579846,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","Agalychnis callidryas",793,55290,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","PHYLLOMEDUSIDAE","Agalychnis","callidryas","(Cope, 1862)",NA,NA,NA,NA,"Agalychnis callidryas subspecies taylori|Agalychnis helenae  |Agalychnis  callidryas subspecies callidryas |Hyla  callidryas |Phyllomedusa  callidryas|Phyllomedusa  helenae","Red-eyed Treefrog, Red-eyed Leaf frog",NA,"Rana Arborícola","LC",NA,3.1,2008,"decreasing",NA,NA,NA,NA,NA,4.82,6.25,NA,NA,"han","han",NA,NA,98.20663351,41.9336823,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","Agalychnis dacnicolor",794,55813,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","PHYLLOMEDUSIDAE","Agalychnis","dacnicolor","(Cope, 1864)",NA,NA,NA,NA,"Pachymedusa dacnicolor|Phyllomedusa dacnicolor","Mexican Giant Tree Frog, Mexican Leaf Frog",NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,6.76,7.92,NA,NA,"nali","nali",NA,NA,56.17110266,13.01635527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798","Agalychnis lemur",798,55855,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","PHYLLOMEDUSIDAE","Agalychnis","lemur","(Boulenger, 1882)",NA,NA,NA,NA,"Hylomantis lemur|Phyllomedusa lemur","Lemur Leaf Frog",NA,NA,"CR","A4ace",3.1,2008,"decreasing",NA,NA,NA,NA,NA,3.38,4.26,NA,NA,"nali","nali",NA,NA,5.661970906,0.589910027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803","Agalychnis saltator",803,55294,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","PHYLLOMEDUSIDAE","Agalychnis","saltator","Taylor, 1955",NA,NA,NA,NA,"Phyllomedusa  saltator ","Misfit Leaf Frog",NA,NA,"LC",NA,3.1,2008,"stable",NA,NA,NA,NA,NA,4.33,5.7,NA,NA,"han","han",NA,NA,9.336448951,1.045063136,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804","Agalychnis spurrelli",804,55295,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","PHYLLOMEDUSIDAE","Agalychnis","spurrelli","Boulenger, 1913",NA,NA,NA,NA,"Agalychnis  litodryas|Phyllomedusa  litodryas |Phyllomedusa  spurrelli","Gliding Treefrog, Gliding Leaf Frog",NA,NA,"LC",NA,3.1,2008,"decreasing",NA,NA,NA,NA,NA,6.2,7.5,NA,NA,"han","han",NA,NA,50.55912846,7.542535801,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"865","Aglyptodactylus laticeps",865,57383,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MANTELLIDAE","Aglyptodactylus","laticeps","Glaw, Vences & Böhme, 1998",NA,NA,NA,NA,NA,NA,NA,NA,"VU","B1ab(iii)",3.1,2016,"decreasing",NA,NA,NA,NA,NA,4.35,5.9,NA,NA,"nali","nali",NA,NA,4.477390012,0.172646329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866","Aglyptodactylus madagascariensis",866,84500383,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MANTELLIDAE","Aglyptodactylus","madagascariensis","(Duméril, 1853)",NA,NA,NA,NA,"Limnodytes madagascariensis","Madagascar Jumping Frog",NA,NA,"LC",NA,3.1,2016,"decreasing",NA,NA,NA,NA,NA,4.1,5.3,NA,NA,"nali","nali",NA,NA,22.75046964,9.538128166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867","Aglyptodactylus securifer",867,57385,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MANTELLIDAE","Aglyptodactylus","securifer","Glaw, Vences & Böhme, 1998",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2016,"decreasing",NA,NA,NA,NA,NA,3.58,4.29,NA,NA,"nali","nali",NA,NA,53.76509194,9.92654162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
