species,order,family,asr,b.mass,chick.brd,chick.brd.abs,chick.dfc,chick.dur,chick.feed,chick.feed.abs,clutch.num,clutch.size,dev.mod,egg.mass,epb,epy,f.mass,f.tail,f.tarsus,f.wing,femmor.a,fpg,fpg.scr,inc,inc.abs,inc.dur,m.mass,m.tail,m.tarsus,m_displ,m.wing,malmor.a,mating.system,mortality,mpg,mpg.scr,nest.bld,nest.bld.abs,nest.dur,nest.grd,pl.back,pl.belly,pl.extra,pl.head,pl.latitude,pl.mean,pl.median,pl.tail,pl.total,pl.wings,post.dur,postf.feed,postf.feed.abs,postf.grd,postf.grd.abs,testes,unsexed.mass,unsexed.tail,unsexed.tarsus,unsexed.wing
Bonasa_sewerzowi,Galliformes,Phasianidae,0.64,267.5,NA,NA,0,NA,NA,NA,NA,6.25,2,20.5,NA,NA,257,NA,NA,NA,0.39,0,0,0,NA,25,278,NA,NA,NA,NA,0.34,NA,0.365,0,0,NA,NA,NA,NA,0,1,1,1,NA,0.5,NA,0,3,0,NA,NA,NA,NA,NA,NA,267.29,NA,NA,NA
Bonasa_umbellus,Galliformes,Phasianidae,NA,532,NA,NA,0,94.5,NA,1,NA,10.84333333,2,18,NA,NA,485,147.5,41.7,NA,NA,NA,4,0,0,23.5,575.5,184,43.6,NA,NA,NA,5,NA,NA,4,0,NA,NA,NA,0,0,1,1,NA,0.333333333,NA,0,2,0,NA,NA,1,NA,NA,1.46,530.91,NA,NA,NA
Bostrychia_bocagei,Pelecaniformes,Threskiornithidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,1063,NA,NA,NA
Bostrychia_carunculata,Pelecaniformes,Threskiornithidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1063,NA,NA,NA
Bostrychia_hagedash,Pelecaniformes,Threskiornithidae,NA,1238,2,0,NA,36.5,2,NA,NA,2.555,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1250,154,68,353
Bostrychia_olivacea,Pelecaniformes,Threskiornithidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1063,NA,NA,NA
Bostrychia_rara,Pelecaniformes,Threskiornithidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,866,NA,NA,NA
Botaurus_lentiginosus,Pelecaniformes,Ardeidae,NA,706,0,0,NA,NA,0,NA,NA,3.725,0,36,NA,NA,NA,NA,NA,252.5,NA,0,0,NA,NA,26,372,NA,NA,1,281.5,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,706,NA,NA,NA
Botaurus_pinnatus,Pelecaniformes,Ardeidae,NA,838.5,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,630,NA,NA,NA,NA,NA,NA,0,0,24.5,1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,812.16,NA,NA,NA
Botaurus_poiciloptilus,Pelecaniformes,Ardeidae,NA,1110.5,NA,NA,NA,49,NA,NA,NA,4.4,0,39,NA,NA,867.85,111.6,97.3,322,NA,0,0,0,0,25,1353,123.6,105.9,4,359,NA,NA,NA,NA,2,0,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1083.69,NA,NA,NA
Botaurus_stellaris,Pelecaniformes,Ardeidae,NA,1324.5,NA,NA,NA,52.5,0,NA,1,4.525,1,42,NA,NA,1824.666667,104,91,311,NA,0,0,0,NA,25.5,2340.333333,117,102,NA,346,NA,NA,NA,0.71,4,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1319.45,NA,NA,NA
Bowdleria_punctata,Passeriformes,Sylviidae,NA,25.2,2,0,2,16,2,NA,NA,1.7,0,NA,NA,NA,24,NA,NA,NA,NA,0,0,2,0,14.5,26.4,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,25.17,NA,NA,NA
Brachycope_anomala,Passeriformes,Ploceidae,NA,25.3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,28.9,20,57.8,NA,0,0,NA,NA,NA,25.315,30,21.2,NA,60.6,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,5,1,NA,NA,NA,NA,NA,NA,25.3,NA,NA,NA
Brachygalba_albogularis,Piciformes,Galbulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,17.43,NA,NA,NA
Brachygalba_goeringi,Piciformes,Galbulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
Brachygalba_lugubris,Piciformes,Galbulidae,NA,15.9,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,15.9,NA,NA,NA
Brachygalba_salmoni,Piciformes,Galbulidae,NA,17.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,0.4,NA,0,2,0,NA,NA,NA,NA,NA,NA,17.2,NA,NA,NA
Brachypteracias_leptosomus,Coraciiformes,Brachypteraciidae,NA,185,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,7,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,185,NA,NA,NA
Brachypteracias_squamigera,Coraciiformes,Brachypteraciidae,NA,155,0,NA,NA,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,18,155,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,36,1,NA,NA,NA,NA,155,NA,NA,NA
Brachypteryx_hyperythra,Passeriformes,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,2,0,-2,1,-2,-1,-2,6,-2,NA,NA,NA,NA,NA,NA,78,NA,NA,NA
Brachypteryx_leucophrys,Passeriformes,Turdidae,NA,15.8,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,15.8,NA,NA,NA
Brachypteryx_montana,Passeriformes,Turdidae,NA,17.7,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,0,1,0,-2,-1.166666667,-2,-3,-2,NA,NA,NA,NA,NA,NA,17.68,NA,NA,NA
Brachypteryx_stellata,Passeriformes,Turdidae,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
Brachyramphus_brevirostris,Charadriiformes,Alcidae,NA,234,2,NA,NA,24,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,1,NA,1,NA,234,NA,NA,NA
Brachyramphus_marmoratus,Charadriiformes,Alcidae,0.524,220,2,NA,NA,33.5,2,NA,NA,1,1,59.8,NA,NA,222.7,30.5,15.9,132.6,NA,0,0,2,NA,29,217,31.3,16.2,1,134.2,NA,NA,0.155,0,0,0,1,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,NA,220,NA,NA,NA
Brachyramphus_perdix,Charadriiformes,Alcidae,NA,296,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,296,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,220,NA,NA,NA
Bradornis_infuscatus,Passeriformes,Muscicapidae,NA,32.4,NA,NA,NA,13,2,NA,NA,2.4,0,3.2,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,14.5,39,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8,NA,0,0,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,34.7,NA,NA,NA
Bradornis_mariquensis,Passeriformes,Muscicapidae,NA,25.2,2,NA,NA,14,2,NA,NA,3,NA,2.18,NA,NA,26.1,NA,NA,84.7,NA,0,0,0,NA,NA,24.3,NA,NA,NA,84.7,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,49,NA,NA,NA,NA,NA,25.18,NA,21.5,NA
Bradornis_microrhynchus,Passeriformes,Muscicapidae,NA,19.75,NA,NA,NA,15,2,NA,NA,2,NA,2.23,NA,NA,18.5,NA,20.7,77.5,NA,0,0,0,NA,12,19.75,NA,20.2,NA,78.5,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,19.48,NA,NA,NA
Bradornis_pallidus,Passeriformes,Muscicapidae,NA,23.6,1,NA,NA,17,2,NA,NA,2.4,NA,2.01,NA,NA,23.4,NA,20.4,86,NA,0,0,0,NA,14,23.8,NA,21.6,NA,85.6,NA,NA,NA,0,0,0,NA,7,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,23.6,NA,NA,NA
Bradypterus_accentor,Passeriformes,Sylviidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,14,NA,NA,NA
Bradypterus_alfredi,Passeriformes,Sylviidae,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,54.33,25,59,NA,NA,NA,NA,NA,NA,NA,49,24,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA
Bradypterus_alishanensis,Passeriformes,Sylviidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA
Bradypterus_baboecala,Passeriformes,Sylviidae,NA,12.9,NA,NA,NA,12.5,2,NA,NA,2.4,NA,2,NA,NA,NA,62.5,20.8,58.4,NA,0,0,NA,NA,13,NA,63.6,20.4,4,59.2,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,13.61666667,NA,NA,NA
Bradypterus_bangwaensis,Passeriformes,Sylviidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
Bradypterus_barratti,Passeriformes,Sylviidae,NA,18.8,NA,NA,NA,NA,NA,NA,NA,2,NA,2.54,NA,NA,NA,NA,NA,66.9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,63.4,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,18.8,66.9,23.2,NA
Bradypterus_carpalis,Passeriformes,Sylviidae,NA,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,70,27.5,68.4,NA,NA,NA,NA,NA,NA,23.5,73.75,28.5,3,71.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,22.37,NA,NA,NA
Bradypterus_castaneus,Passeriformes,Sylviidae,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
Bradypterus_caudatus,Passeriformes,Sylviidae,NA,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,22.9,NA,NA,NA
Bradypterus_cinnamomeus,Passeriformes,Sylviidae,NA,17.4,NA,NA,NA,NA,NA,NA,NA,2.45,NA,2.55,NA,NA,17,60.5,21.2,58,NA,0,0,NA,NA,NA,17.8,62.1,20.7,NA,59.3,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,17.39,NA,NA,NA
Bradypterus_davidi,Passeriformes,Sylviidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
Bradypterus_grandis,Passeriformes,Sylviidae,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,25.3,4,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA
Bradypterus_graueri,Passeriformes,Sylviidae,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,67.4,23.5,57.5,NA,0,0,NA,NA,NA,17.3,72.9,NA,1,58,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,0,1,0,0.5,0.666666667,0,2,0,NA,NA,NA,NA,NA,NA,16.99,NA,NA,NA
Bradypterus_lopezi,Passeriformes,Sylviidae,NA,19.2,NA,NA,NA,NA,NA,NA,NA,2.45,NA,NA,NA,NA,NA,56.6,NA,57,NA,0,0,NA,NA,NA,21,57,21.4,NA,58.5,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,18.38333333,NA,NA,NA
Bradypterus_luteoventris,Passeriformes,Sylviidae,NA,13.2,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,12.5,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,13.2,NA,NA,NA
Bradypterus_major,Passeriformes,Sylviidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
Bradypterus_mandelli,Passeriformes,Sylviidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA
Bradypterus_montis,Passeriformes,Sylviidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,14,NA,NA,NA
Bradypterus_palliseri,Passeriformes,Sylviidae,NA,9,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-2,0,1,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
Bradypterus_seebohmi,Passeriformes,Sylviidae,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA
Bradypterus_sylvaticus,Passeriformes,Sylviidae,NA,NA,NA,NA,NA,NA,2,NA,1,2.466666667,0,2.6,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,8,NA,0,0,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,18.75,59.6,17.6,60.1
Bradypterus_tacsanowskius,Passeriformes,Sylviidae,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,14,NA,NA,NA
Bradypterus_thoracicus,Passeriformes,Sylviidae,NA,10.8,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA
Bradypterus_timorensis,Passeriformes,Sylviidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA
Bradypterus_victorini,Passeriformes,Sylviidae,NA,10,NA,NA,NA,NA,2,NA,NA,2.45,NA,2.5,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,10,69,20.4,53
Branta_bernicla,Anseriformes,Anatidae,0.51,1279.25,2,NA,2,40,0,1,1,3.975,2,91,NA,NA,1229,90.8,NA,324,0.16,0,0,0,NA,25,1357.166667,94.6,NA,NA,340,0.16,2,0.16,0,0,2,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,1.15,1375.205,NA,NA,NA
Branta_canadensis,Anseriformes,Anatidae,0.501,3727.333,2,NA,2,44,0,1,1,5.2,2,163,14,NA,3371.388889,148,NA,481,0.275,0,0,0,NA,29,3865.5,150,NA,NA,506,0.276,2,0.276,0,0,1,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,3.933333333,3334.34,NA,NA,NA
Branta_hutchinsii,Anseriformes,Anatidae,NA,1940.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1827.25,NA,NA,NA,NA,0,0,0,0,26.5,2053,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,2811.68,NA,NA,NA
Branta_leucopsis,Anseriformes,Anatidae,NA,1687,NA,NA,2,42.5,0,1,1,4.5,2,107,0,0,1586,119,NA,392,0.09,0,0,0,NA,24.5,1788,126,NA,NA,410,0.09,2,0.09,0,0,2,NA,NA,2,0,0,0,0,2,0,0,0,0,0,183,NA,NA,NA,NA,1.54,1735.985,NA,NA,NA
Branta_ruficollis,Anseriformes,Anatidae,NA,1234.5,NA,NA,NA,38.5,NA,NA,NA,6.5,NA,90,NA,NA,1094,102,NA,NA,NA,NA,NA,0,0,24,1375,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1226.47,NA,NA,NA
Branta_sandvicensis,Anseriformes,Anatidae,0.54,2047.5,1,NA,3,77,0,1,NA,3.386666667,2,131,NA,NA,1930,NA,NA,NA,0.132,0,0,0,NA,30,2061.666667,NA,NA,NA,NA,0.113,2,0.123,0,0,0,NA,12,3,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,1.37,2099.56,NA,NA,NA
Brotogeris_chiriri,Psittaciformes,Psittacidae,NA,61.6,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,64.15,101.59,NA,114.83,NA,NA,NA,NA,NA,NA,59.83,100.74,11.56,1,119.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,61.6,NA,NA,NA
Brotogeris_chrysoptera,Psittaciformes,Psittacidae,NA,54.5,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,54.5,NA,NA,NA
Brotogeris_cyanoptera,Psittaciformes,Psittacidae,NA,56,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.41,64.7,NA,NA,NA
Brotogeris_jugularis,Psittaciformes,Psittacidae,NA,63.25,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,63.2,NA,NA,NA
Brotogeris_pyrrhoptera,Psittaciformes,Psittacidae,NA,64,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,63.87,NA,NA,NA
Brotogeris_sanctithomae,Psittaciformes,Psittacidae,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,59,NA,NA,NA
Brotogeris_tirica,Psittaciformes,Psittacidae,NA,63,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,63,NA,NA,NA
Brotogeris_versicolurus,Psittaciformes,Psittacidae,NA,71.6,NA,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,68.6,88.16,NA,118.25,NA,NA,NA,NA,NA,NA,74.6,88.5,1.84,NA,119.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,71.53,NA,NA,NA
Bubalornis_albirostris,Passeriformes,Ploceidae,NA,61.9,NA,NA,NA,NA,NA,NA,NA,3.15,NA,5.75,NA,NA,NA,91.4,26.8,112,NA,0,0,NA,NA,NA,66.45,107,27.6,2,124,NA,NA,NA,NA,4,NA,NA,NA,NA,0,0,NA,1,NA,0.2,NA,0,1,0,NA,NA,NA,NA,NA,NA,61.9,NA,NA,NA
Bubalornis_niger,Passeriformes,Ploceidae,NA,76.4,NA,NA,2,22,2,NA,NA,3.3,0,5.78,68.4,NA,70.7,97.5,27.9,113,NA,NA,4,0,NA,11,81.06666667,103,29.4,1,122,NA,NA,NA,NA,4,4,NA,NA,2,1,1,NA,1,NA,1,NA,1,5,1,NA,NA,NA,NA,NA,NA,78.74,NA,NA,NA
