species,order,family,asr,b.mass,chick.brd,chick.brd.abs,chick.dfc,chick.dur,chick.feed,chick.feed.abs,clutch.num,clutch.size,dev.mod,egg.mass,epb,epy,f.mass,f.tail,f.tarsus,f.wing,femmor.a,fpg,fpg.scr,inc,inc.abs,inc.dur,m.mass,m.tail,m.tarsus,m_displ,m.wing,malmor.a,mating.system,mortality,mpg,mpg.scr,nest.bld,nest.bld.abs,nest.dur,nest.grd,pl.back,pl.belly,pl.extra,pl.head,pl.latitude,pl.mean,pl.median,pl.tail,pl.total,pl.wings,post.dur,postf.feed,postf.feed.abs,postf.grd,postf.grd.abs,testes,unsexed.mass,unsexed.tail,unsexed.tarsus,unsexed.wing
Acanthiza_lineata,Passeriformes,Acanthizidae,0.6,6.95,0,NA,2,19,2,NA,NA,3,0,1.32,NA,NA,7.066666667,38.8,17.5,52.2,NA,NA,NA,0,NA,15,7.4,39.4,17.5,1.5,53.1,NA,6,NA,NA,NA,2,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,0.14,7.025,NA,NA,NA
Acanthiza_murina,Passeriformes,Acanthizidae,NA,8.4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA
Acanthiza_nana,Passeriformes,Acanthizidae,NA,6.2,NA,NA,NA,NA,2,NA,NA,3,NA,1.34,NA,NA,6.3,36.6,17.3,48.7,NA,NA,NA,NA,NA,16.5,6.5,36,17.4,NA,49.2,NA,6,NA,NA,NA,2,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,2,NA,NA,NA,0.43,6.245,NA,NA,NA
Acanthiza_pusilla,Passeriformes,Acanthizidae,0.524,7.475,0,NA,2,15.5,2,NA,1.6,2.85,0,1.4,11.9,NA,6.9,42.5,19.3,49.5,0.38,0,0,0,NA,18.2,7.8,44.9,20.3,1,51.6,0.37,2,0.375,0,0,0,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,2,NA,2,NA,0.11,7.21,NA,NA,NA
Acanthiza_pusilla_apicalis,Passeriformes,Acanthizidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
Acanthiza_reguloides,Passeriformes,Acanthizidae,0.59,7.7,NA,NA,2,17.4,2,NA,NA,3.725,0,1.22,NA,NA,7.4,38.8,17.6,51.8,NA,0,0,0,NA,16.5,7.7,40.3,17.7,2,53.4,NA,2,NA,0,0,NA,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,2,NA,NA,NA,0.1,7.7,NA,NA,NA
Acanthiza_robustirostris,Passeriformes,Acanthizidae,NA,6.1,NA,NA,NA,NA,2,NA,NA,2.7,0,1.33,NA,NA,5.9,40.1,18.9,50.1,NA,NA,NA,NA,NA,NA,6.2,41.5,19.6,1,52,NA,2,NA,NA,NA,0,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,2,NA,NA,NA,NA,6.1,NA,NA,NA
Acanthiza_uropygialis,Passeriformes,Acanthizidae,NA,6.4,NA,NA,NA,19,2,NA,NA,3,NA,1.18,NA,NA,6.2,38.2,17.3,49.9,NA,NA,NA,NA,NA,19,6.5,39.1,18,1,51.2,NA,6,NA,NA,NA,2,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,2,NA,NA,NA,0.03,6.4,NA,NA,NA
Acanthorhynchus_superciliosus,Passeriformes,Meliphagidae,NA,9.75,NA,NA,NA,15,2,NA,NA,1.51,NA,1.73,NA,NA,9,53.3,19.1,57.8,NA,NA,NA,1,0,NA,10.5,58.3,20,3,62.2,NA,2,NA,NA,NA,0,NA,NA,NA,1,2,0,2,-1,0.5,0.833333333,0,4,0,NA,2,NA,NA,NA,NA,9.72,NA,NA,NA
Acanthorhynchus_tenuirostris,Passeriformes,Meliphagidae,NA,10.5,NA,NA,NA,13.7,2,NA,NA,2.225,0,1.72,NA,NA,9.25,54.94,18.6,58,NA,NA,NA,0,NA,14.4,10.81666667,62.1,19.9,4.5,63.8,NA,2,NA,NA,NA,1,NA,5.5,NA,0,1,0,-2,-1,0,-0.166666667,0,2,0,NA,2,NA,2,NA,0.12,10.44,NA,NA,NA
