binomial,Species.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific.rank,Infraspecific.name,Infraspecific.authority,Stock.subpopulation,Synonyms,Common.names..Eng.,Common.names..Fre.,Common.names..Spa.,Red.List.status,Red.List.criteria,Red.List.criteria.version,Year.assessed,Population.trend,Petitioned,mating_system,sex_dim,ref.matsys,ref.sexdim,male_svl_cm,female_svl_cm,male_body_mass_g,female_body_mass_g,ref.svl.male,ref.svl.female,ref.body_mass.male,ref.body_mass.female,shape_Leng,shape_Area,han_MorR,sex_role.liker,malepolyfreq.liker,malepolyscore.liker,fempolyfreq.liker,fempolyscore.liker,parentalcare_bias.liker,malecareduration.liker,femcareduration.liker,breedingdens.liker,EPP.freq.liker,body.size.pip,latitude.pip,ASR,ref.asr,sex.size.dim,ref.sex.size.dim,body_mass_adult,ref_body_mass,sex.sel.traits,ref.sex.sel.t,comments
Occidozyga martensii,58413,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Occidozyga,martensii,"(Peters, 1867)",NA,NA,NA,NA,NA,"Marten's Oriental Frog, Round-tongued Floating Frog",NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,2.04,2.5,NA,NA,han,han,NA,NA,161.3007,130.0941,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophrynus americanus,57186,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ODONTOPHRYNIDAE,Odontophrynus,americanus,"(Duméril & Bibron, 1841)",NA,NA,NA,NA,Pyxicephalus americanus,"Common Lesser Escuerzo, American Ground Frog",NA,Escuercito,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,4.601,5.1,NA,NA,nali,nali,NA,NA,141.1589,303.9965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana andersonii,58543,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,andersonii,"(Boulenger, 1882)",NA,NA,NA,NA,Polypedates yunnanensis  |Rana andersonii,"Golden Crossband Frog, Anderson's Frog, Yunnan Odorous Frog",NA,NA,LC,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,6.35,7.73,NA,NA,han,han,NA,NA,43.38277,56.33921,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana banaorum,58555,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,banaorum,"(Bain, Lathrop, Murphy, Orlov & Ho, 2003)",NA,NA,NA,NA,Rana banaorum,NA,NA,NA,LC,NA,3.1,2017,decreasing,NA,NA,NA,NA,NA,4.85,9.1,NA,NA,han,han,NA,NA,41.63994,2.648185,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana chapaensis,58204,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,chapaensis,"(Bourret, 1937)",NA,NA,NA,NA,Amolops chapaensis  |Amolops macrorhynchus  |Rhacophorus buergeri subspecies chapaensis,"Vietnam Sucker Frog, Chapa Torrent Frog",NA,NA,NT,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,8.11,9.22,NA,NA,han,han,NA,NA,9.448104,2.492647,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana chloronota,58576,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,chloronota,"(Günther, 1876)",NA,NA,NA,NA,Huia chloronota|Polypedates chloronotus|Rana chloronota  ,"Chloronate Huia Frog, Copper-cheeked Frog",NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,4.6,9.2,NA,NA,han,han,NA,NA,188.2928,154.1502,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana grahami,58607,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,grahami,"(Boulenger, 1917)",NA,NA,NA,NA,Rana grahami,"Yunnanfu Frog, Diskless-fingered Odorous Frog, Graham Frog",NA,NA,NT,NA,3.1,2004,decreasing,NA,Monoandry,NA,liao,NA,7.43,9.33,NA,NA,han,han,NA,NA,30.13979,31.20081,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,"(Liu et al., 2018)",NA,NA,NA,NA,NA,NA,ASR based on collected individuals: 189 males and 173 females (CCI 31/10/2018)
Odorrana hosii,58618,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,hosii,"(Boulenger, 1891)",NA,NA,NA,NA,Rana hosii,"Hose's Frog, Green Tree Frog, Mount Dulit Frog, Poisonous Rock Frog",NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,5.38,9.24,NA,NA,han,han,NA,NA,149.7266,79.02599,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana jingdongensis,58627,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,jingdongensis,"Fei, Ye & Li, 2001",NA,NA,NA,NA,Rana hmongorum|Rana jingdongensis,NA,NA,NA,VU,A2acd,3.1,2008,decreasing,NA,NA,NA,NA,NA,7.48,9.7,NA,NA,han,han,NA,NA,14.06061,9.798747,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana junlianensis,58631,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,junlianensis,"Huang, Fei & Ye in Fei and Ye, 2001",NA,NA,NA,NA,Rana junlianensis,Junlian Odorous Frog,NA,NA,VU,B1ab(iii),3.1,2004,decreasing,NA,NA,NA,NA,NA,7.61,9.75,NA,NA,han,han,NA,NA,5.745765,1.37243,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
